175,401- 107,182   1st(block green)
1- 90,182  2nd(block green)
67 ,182
45,182
23,182
0,182
//
0,165
0,140
20,140
45,140
65,140
85,140
110,140
130,120
130,100
130,80
130,60
130,40
130,20
155,20
175,20
175,40
175,60
//

175,80
175,100
175,120
200,140
220,140
240,140
265,140
288,140
308,140
308,160
308,185
288,185
268,185
245,185
223,185
200,185
177,205
177,225
177,245
177,265
177,285
177,305
154,30
154,285
154,265
154,245
154,225
154,205
154,185
//
33,260 house redpiece 3
55,230 house redpiece 3
55,276 house redpiece 4
// red ends
// blue begins
blue 1 house 270,255
blue 2 house 245,230
blue 3 house 223,260
blue 4 house 247,280
//blue step 0
280,185 where blue goes on six
blue step1
260,185
235,185
215,185
193,185
170,200
170,225
170,245
170,265
170,285
170,305
148,305
125,305
125,285
125,265
125,245
125,225
125,205
103,185
80,185
60,185
58,185
38,185
15,185
-6,185
-6,165
-6,145
15,145
35,145
60,145
80,145
105,145
125,125
125,105
125,85
125,65
125,45
125,25
148,25
170,25
170,45
170,65
170,85
170,105
170,125
193,145
213,145
235,145
258,145
280,145
303,145
303,165
280,165
260,165
237,165
215,165
190,255
170,255   //blue pout
//blue ends




